Type_of_well,Well_Depth,Lattitude,Longitude,pH,Eh,Cond,Temp,DO,DOC,HCO3,Cl,NO3,SO4,PO4,NH4,Al,B,Ba,Ca,Fe,K,Mg,Mn,Na,P,S,Si,SiO2,Sr,Zn,Cd,Cr,Cu,Mo,Ni,Pb,As
Shallow,24.2,23.51744,90.86417,6.72,-96,1416,29.6,0.3,14.03,614.88,229.4428,9.6192,0.93,700.4,0,85.12,0.3,0.08,20.57,2.79,15.15,39.62,0.05,302.51,3645.64,0.71,12.51,26.77,0.25,49.18,0,13.6364,3.727,0,3.4724,0,499.3
Deep,181.8,23.54386,90.83903,6.74,-33,465,31.4,1.2,6.51,175.68,37.9805,1.3602,0.2,0,0.27,60.33,0.05,0.1,28.42,2.3,2.93,14.03,0.13,33.62,164.7,0.22,26.29,56.25,0.16,79.11,0,0,4.2555,0,2.7421,0,8.9
Deep,242.4,23.52825,90.82956,6.73,-19,496,31.1,1.5,6.23,204.96,55.9389,3.0727,1.59,0,0.19,63.05,0.03,0.09,33.63,2.02,3.31,18.17,0.1,33.83,117.87,0.74,29.24,62.56,0.22,51.76,0,0,3.3989,0,0,0,6.3
Deep,303,23.52561,90.84586,6.72,-25,761,32.1,5.3,5.85,175.68,149.4432,3.4314,13.47,0,0.06,35.38,0.03,0.09,54.79,0.06,6.21,26.81,0.06,58.74,156.8,5.17,23.58,50.45,0.38,43.75,0,1.2759,154.386,0,0,4.3982,16.1
Shallow,84.8,23.54328,90.78681,6.72,17,1261,31,2.4,16.93,263.52,306.539,1.9414,0.4,0,0,43.36,0.03,0.08,113.23,0.13,3.84,36.32,3.18,136.1,38.01,0.54,14.13,30.22,0.68,69.22,0,1.7589,3.1335,0,6.01,0,5.8
Deep,212.1,23.52781,90.78244,6.76,16,615,31.1,0.1,8.61,234.24,79.4907,1.7868,0.14,0,0,53.75,0.04,0.05,49.9,0.45,3.44,15.26,1.3,57.7,68.75,0.51,17.44,37.3,0.26,44.63,0,1.8011,5.0403,0,0,3.4226,7.4
Shallow,12.1,23.52477,90.79369,6.72,-4,1005,29.6,0,12.23,512.4,117.1282,0.0241,0.1,0,7.56,48.9,0.07,0.11,80.71,7.97,11.14,56.82,0.24,76.42,2810.83,0.38,21.57,46.15,0.41,46.28,0,0.8717,1.1542,0,0,0,97.9
Shallow,15.2,23.51835,90.81829,6.78,-22,652,29.2,0.2,7.03,380.64,22.003,1.2977,0.05,120.7,3.66,48.54,0.06,0.07,38.71,5.22,8.29,48.44,0.09,20.88,2380.86,0.4,18.82,40.27,0.26,63.76,0,0.9402,6.9799,0,5.7857,0,226.4
Shallow,121.2,23.52678,90.81694,6.77,-27,628,32.1,3.6,3.95,190.32,96.1316,0.5687,0.13,0,0.2,35.59,0.03,0.11,56.42,1.78,6.27,16.36,0.28,44.61,92.3,0.34,20.7,44.28,0.26,435.78,0,0.8296,4.0695,0,0,0,2.6
Shallow,36.4,23.53425,90.80952,6.7,-17,927,31.1,0.1,8.76,570.96,149.5486,12.4828,0.34,0,0,19.97,0.13,0.06,68.92,7.03,13.22,79.97,0.1,87.04,2032.86,0.31,15.41,32.96,0.47,35.53,0,0.5014,1.5049,0,2.9501,0,289.9
